,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
0,Andover School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Andover, CT"
1,Ansonia School District,PK,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,13,1,1,1.0,0.0,0.0,1.0,"Ansonia, CT"
2,Ashford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Ashford, CT"
3,Avon School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Avon, CT"
6,Barkhamsted School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Barkhamsted, CT"
7,Berlin School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Berlin, CT"
8,Bethany School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Bethany, CT"
9,Bethel School District,"PK, K, g1, g2","g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,10,4,0.0,2.0,0.0,2.0,"Bethel, CT"
11,Bloomfield School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Bloomfield, CT"
12,Bolton School District,"K, g1, g2, g3, g4, g5","PK, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"Bolton, CT"
13,Bozrah School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,10,1,1,1.0,0.0,0.0,1.0,"Bozrah, CT"
14,Branford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Branford, CT"
15,Bridgeport School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,0,1,14,1,0.0,2.0,0.0,2.0,"Bridgeport, CT"
16,Bristol School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Bristol, CT"
19,Brookfield School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Brookfield, CT"
20,Brooklyn School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,10,1,1,1.0,0.0,0.0,1.0,"Brooklyn, CT"
22,Canaan School District,N/A,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,9,1,1,1.0,0.0,0.0,1.0,"Canaan, CT"
23,Canterbury School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Canterbury, CT"
24,Canton School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Canton, CT"
26,Chaplin School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Chaplin, CT"
27,Cheshire School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Cheshire, CT"
29,Chester School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Chester, CT"
30,Clinton School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Clinton, CT"
31,Colchester School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Colchester, CT"
32,Colebrook School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Colebrook, CT"
33,Columbia School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Columbia, CT"
34,Cornwall School District,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Cornwall, CT"
35,Coventry School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Coventry, CT"
36,Cromwell School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Cromwell, CT"
38,Danbury School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"Danbury, CT"
39,Darien School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Darien, CT"
40,Deep River School District,"K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Deep River, CT"
42,Derby School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,0,1,1,14,0.0,0.0,3.0,3.0,"Derby, CT"
44,Eastford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Eastford, CT"
45,East Granby School District,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"East Granby, CT"
46,East Haddam School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"East Haddam, CT"
47,East Hampton School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"East Hampton, CT"
48,East Hartford School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"East Hartford, CT"
50,East Haven School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,0,1,1,14,0.0,0.0,3.0,3.0,"East Haven, CT"
52,East Lyme School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"East Lyme, CT"
55,Easton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Easton, CT"
57,East Windsor School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"East Windsor, CT"
58,Ellington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Ellington, CT"
59,Enfield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Enfield, CT"
61,Essex School District,"K, g1, g2, g3, g4, g5, g6",N/A,PK,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,7,0.0,0.0,3.0,3.0,"Essex, CT"
62,Fairfield School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Fairfield, CT"
64,Farmington School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Farmington, CT"
65,Franklin School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Franklin, CT"
67,Glastonbury School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"Glastonbury, CT"
68,Granby School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Granby, CT"
69,Greenwich School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Greenwich, CT"
71,Griswold School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Griswold, CT"
72,Groton School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Groton, CT"
73,Guilford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Guilford, CT"
74,Hamden School District,PK,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,1,13,1,1,1.0,0.0,0.0,1.0,"Hamden, CT"
78,Hampton School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Hampton, CT"
79,Hartford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,0,1,14,1,0.0,2.0,0.0,2.0,"Hartford, CT"
86,Hartland School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,10,1,1,1.0,0.0,0.0,1.0,"Hartland, CT"
87,Hebron School District,"PK, g3, g4, g5, g6",K,"g1, g2",Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,2,1,5,0.0,0.0,3.0,3.0,"Hebron, CT"
89,Kent School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Kent, CT"
90,Killingly School District,"PK, K, g1","g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,11,3,0.0,2.0,0.0,2.0,"Killingly, CT"
93,Lebanon School District,"PK, K, g1, g2, g3, g4",N/A,"g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,8,1,6,1.0,0.0,0.0,1.0,"Lebanon, CT"
94,Ledyard School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Ledyard, CT"
95,Lisbon School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,10,1,0.0,2.0,0.0,2.0,"Lisbon, CT"
96,Litchfield School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Litchfield, CT"
99,Madison School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"Madison, CT"
101,Manchester School District,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,8,6,0.0,2.0,0.0,2.0,"Manchester, CT"
105,Mansfield School District,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,2,8,0.0,0.0,3.0,3.0,"Mansfield, CT"
108,Marlborough School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Marlborough, CT"
109,Meriden School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,4,10,0.0,0.0,3.0,3.0,"Meriden, CT"
111,Middletown School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,14,1,0.0,2.0,0.0,2.0,"Middletown, CT"
112,Milford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Milford, CT"
118,Monroe School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Monroe, CT"
119,Montville School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Montville, CT"
121,Naugatuck School District,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,6,8,0.0,0.0,3.0,3.0,"Naugatuck, CT"
123,New Britain School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"New Britain, CT"
128,New Canaan School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,4,10,0.0,0.0,3.0,3.0,"New Canaan, CT"
129,New Fairfield School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"New Fairfield, CT"
130,New Hartford School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"New Hartford, CT"
132,New Haven School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"New Haven, CT"
135,Newington School District,"PK, K, g1, g2, g3, g4","g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,8,6,0.0,2.0,0.0,2.0,"Newington, CT"
136,New London School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"New London, CT"
139,New Milford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"New Milford, CT"
140,Newtown School District,"PK, K, g1, g2, g3, g4, g5, g6","g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,6,8,0.0,0.0,3.0,3.0,"Newtown, CT"
141,Norfolk School District,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,8,0.0,0.0,3.0,3.0,"Norfolk, CT"
142,North Branford School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"North Branford, CT"
143,North Canaan School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"North Canaan, CT"
144,North Haven School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"North Haven, CT"
146,North Stonington School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"North Stonington, CT"
147,Norwalk School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Alliance,0,1,7,7,0.0,0.0,0.0,0.0,"Norwalk, CT"
149,Norwich School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,Opportunity,0,1,10,1,0.0,2.0,0.0,2.0,"Norwich, CT"
151,Old Saybrook School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Old Saybrook, CT"
153,Orange School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6",Most/All Grades Fully Remote,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,1,8,1,1,1.0,0.0,0.0,1.0,"Orange, CT"
156,Oxford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Oxford, CT"
157,Plainfield School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Plainfield, CT"
158,Plainville School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"January 11, 2021 - January 15, 2021",2021-01-19T00:00:00.000,,0,1,1,14,0.0,0.0,3.0,3.0,"Plainville, CT"
