,district_name,grades_inperson_model,grades_hybrid_model,grades_remote_model,predominant_model,organization_type,reporting_period,update_date,alliance_district,remote,remote_num,hybrid_num,inperson_num,R,H,I,predom,city
1341,Trumbull School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Trumbull, CT"
1343,Union School District,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,1,10,0.0,0.0,3.0,3.0,"Union, CT"
1344,Vernon School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Alliance,0,1,7,7,0.0,0.0,0.0,0.0,"Vernon, CT"
1345,Voluntown School District,"K, g1, g2, g3, g4, g5, g6, g7, g8",PK,N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,1,9,0.0,0.0,3.0,3.0,"Voluntown, CT"
1346,Wallingford School District,"PK, K, g1, g2, g3, g4, g5",N/A,"g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,7,1,7,0.0,0.0,0.0,0.0,"Wallingford, CT"
1352,Waterbury School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Opportunity,1,14,1,1,1.0,0.0,0.0,1.0,"Waterbury, CT"
1353,Waterford School District,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,14,1,0.0,2.0,0.0,2.0,"Waterford, CT"
1355,Watertown School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Watertown, CT"
1356,Westbrook School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,1,14,1,1,1.0,0.0,0.0,1.0,"Westbrook, CT"
1357,West Hartford School District,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Fully In-Person,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,7,7,0.0,0.0,0.0,0.0,"West Hartford, CT"
1363,West Haven School District,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",Most/All Grades Fully Remote,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,Alliance,1,14,1,1,1.0,0.0,0.0,1.0,"West Haven, CT"
1364,Weston School District,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,Most/All Grades Hybrid,Public School Districts,"November 30, 2020 - December 4, 2020",2020-12-09T00:00:00.000,,0,1,13,1,0.0,2.0,0.0,2.0,"Weston, CT"
